P01901859A0000|0 59|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P08768374A0765|10 26|P-rr cDNA sequences
P10669594A0000|11 28|Salmonella fimbrins
P11587514A0758|11 27|abi1-1 gene product
P10523640A0367|11 27|Src tyrosine kinase
P02427869A0939|12 29|beta 2-adrenoceptor
P09613574A0905|11 28|recombinant protein
P09564860A2139|11 27|receptor/G protein
P02850967T0000|11 27|proto-oncogene fos
P09990507A0763|12 26|Fission yeast SCF
P08631822A0677|11 26|plasmin fragments
P02062116A0688|11 26|monoamine oxidase
P08980533A1160|11 26|C-terminal region
P03033283A0837|11 25|NF1-binding loci
P08144631A0000|11 25|tyrosine kinases
P08194139A0498|12 25|Serum prolactin
P09359844A0674|10 23|HSL transcripts
P03036415T0000|11 25|cyclo-oxygenase
P02713994A0482|10 21|anti HSV type 1
P08748033A0874|12 25|cpxA* mutations
P08483412A0000|10 22|nifH promoters
P00056901A0308|10 21|human albumin
P10341219A0481|12 23|heparin lyase
P09121430A1075|11 22|Y239/240F Shc
P09514260A1083|10 21|small inteins
P07730273A1309|10 21|NarQ proteins
P02856622T0001|10 22|thyroglobulin
P11287578A1311|11 23|interleukin-8
P01377962A1012|11 21|tobacco GS-2
P09351242A0719|11 21|AtP5CS1 mRNA
P08394464A1080|11 21|Rev proteins
P11027267A0752|11 21|40S ribosome
P09089653A1112|11 21|DNA-protein
P10825294A0473|11 20|OC promoter
P08063766A0595|10 18|beta II PKC
P00150066A0100|11 20|fibrinogen
P09811730T0000|11 20|interferon
P10702241A0357|11 19|a1 isoform
P10224289T0000|11 19|Fas ligand
P01717994T0000|10 18|human cDNA
P08206848A0296|10 18|pyrP genes
P01377818A0468|11 19|C/EBP beta
P01525153A0359|11 19|d(T2AG3T)
P08892755A0186|11 18|carp JAK1
P10377438A0647|10 17|a protein
P10673426A0168|11 18|R) domain
P10807903A0362|11 19|D5/D1D(CT
P10913304A0894|11 18|Ets mRNAs
P09005979A0841|11 18|GHBP mRNA
P10366503A1506|11 19|terminase
P09257651T0000|11 17|U6 snRNP
P09771967A1052|12 18|LB1 gene
P11381094A0797|11 17|stonin 2
P10406464A0687|11 18|mTRAP100
P09618150A1464|11 17|insulin
P08454858A0285|11 17|Ig-beta
P07776979A0702|11 17|COUP-TF
P09726987T0000|11 17|TAFII31
P08144615A0533|11 16|NF-IL6
P10629176A0887|11 16|CaMig1
P01708098A0922|12 17|biotin
P08682868A0738|11 16|DSK2-1
P09020172A0964|11 16|qTBP42
P01329039A0239|11 15|E-box
P11003641A0811|11 15|Fcp1p
P07878029A0721|10 14|CBF-A
P09501982A1178|12 16|XCoe2
P10454568A0815|11 15|Grb10
P08808275A1193|11 15|RAD23
P09824158A1336|10 14|BCL-6
P10675331A0600|11 15|c-Src
P09858531A1017|12 16|RING1
P09858714A1171|11 15|dda.2
P10438607A0330|10 14|SEBPs
P08999857A0801|11 15|E-box
P10391246A0756|12 16|MOM-4
P07607197A1048|11 15|renin
P10400593A1084|11 15|PvirE
P07588633A0362|10 14|c-Fos
P01468625A1080|11 14|ACT1
P07525843A0859|11 14|H-2b
P08918885A1087|11 14|dig1
P10477748A1076|10 13|p193
P09199318A1147|12 15|p150
P07754713A0227|10 13|NUC1
P07883168A0090|11 14|UPF1
P07916689A0312|11 14|POT1
P10589711A1228|11 14|narZ
P06287231A0914|11 14|TRP1
P07760844A0413|11 14|AP-1
P10563836A1234|11 14|AP-2
P11075944A0691|11 14|npm3
P09852136A0507|11 14|p190
P11836303A0518|11 14|IL-6
P09891065A1493|12 15|rhoA
P02162467A0311|10 13|cytR
P01516829A0460|10 13|LexA
P07519481A1275|11 14|pan)
P09238850A0785|12 15|ICER
P08386318A1102|10 13|IL-6
P09032259A0972|12 15|Rac1
P10773351A0672|11 14|CD86
P09121433A0463|10 13|Rlm1
P07980669A0373|11 13|AVP
P11391303A0807|11 13|LHR
P08106369A0000|12 14|AVP
P08343216A0883|12 14|IgG
P10602516A0182|11 13|SLK
P09368058A0969|11 13|CAK
P11150315A1126|10 12|EGF
P11172610A0508|10 12|p73
P10748125A0000|12 14|I-1
P09523478A0572|11 13|IgM
P08099443A0359|10 12|HRI
P03280021A1615|12 13|dT
P09368026A0000|12 13|OC
P09093867T0000|12 13|Ac
P08144037A0000|12 13|TR
P10788480T0000|12 61|mitochondrial single-stranded DNA-binding protein gene
P10524258T0000|12 47|avian fibroblast growth factor receptor 1
P10727433T0000|12 44|urokinase plasminogen activator gene
P00227393T0000|12 45|25-hydroxyvitamin D3-24-hydroxylase
P06318078T0000|12 41|herpes simplex virus beta and gamma
P08063775T0000|12 44|parathyroid hormone-related protein
P10727428A0000|12 43|mitogen-activated protein) kinases
P11168588T0000|12 37|herpes simplex virus type 2 US3
P10050883A0967|12 39|phosphatidylinositol-3 kinase
P09512550T0000|12 35|apolipoprotein AI enhancer
P10052371A0171|12 34|Salivary immunoglobulin A
P08134108A0277|11 33|skeletal alpha-actin gene
P11432748T0000|12 32|laminin beta2 chain gene
P03992022A0330|12 33|hepatic cytochrome P-450
P07588245T0000|12 33|glucocorticoid receptor
P10358080T0000|12 31|human heat shock factor
P09773981A0415b|12 33|glucocorticoid receptor
P08864061A0000|12 30|thymidine kinase gene
P04843031T0000|11 31|galactosyltransferase
P10792583A0000|12 31|pituitary vasopressin
P09576230T0000|11 29|nitric oxide synthase
P09891046A0554|11 29|ribosomal protein L18
P10037460A0221|11 29|muscarinic receptors
P03110678A0702|12 30|beta 2-microglobulin
P04615525T0001|11 28|antilymphocyte sera
P09651321A0000|11 28|cysteine proteinase
P08662928T0000|12 29|interleukin (IL)-10
P02518691A0251|12 28|IL2R alpha promoter
P08643578A0532|12 27|Rho family protein
P09635276A1608|12 28|myosin phosphatase
P01933614A0406|11 26|salmon calcitonin
P08784787A0383|11 26|thrombin receptor
P07623821T0000|12 26|Gax homeobox gene
P08105727A0099|12 27|dopamine receptor
P07876191A0808|12 25|class IV ADH mRNA
P11024182A0781|13 26|I) collagen mRNA
P08077236A0243|11 24|mutant Epo cDNAs
P11473254A0000|11 25|DNA endonuclease
P01713213A0488|12 25|human pim-1 cDNA
P09334264A0540|13 26|calf thymus CstF
P11092886A0341|13 26|protein kinase A
P01309815A0972|12 25|scr1-1 mutation
P01907941A0275|13 23|I kappa B beta
P09228202A0581|12 24|5-HT3 receptor
P10406843A1265|12 24|GlcNAc-TI mRNA
P10873158A0000|12 24|nuclear factor
P08276851A0347|12 24|Pay4p sequence
P09117345A0945|12 22|alpha 4 beta 1
P11359907A0099|12 23|HIF-1 targets
P02462523A0394|12 23|SalI fragment
P08617216A0584|12 23|complete DnaJ
P02813404T0000|13 23|antigen gene
P07651398A0257|11 21|dShc protein
P09599102A1191|11 21|Mac1p mutant
P08164661A0414|13 23|TFIIIC alpha
P09032258A0395|12 22|HLA-DR-B7-1
P11358958A0878|12 21|human RACK1
P00986925A0002|11 20|calcitonin
P08731511A0625|11 20|fibrinogen
P08078473A1107|12 20|ME31B cDNA
P02437792T0000|12 21|elastase-1
P11157784A0141|11 19|DGCR6 gene
P09879766A0402|11 19|E1A region
P02195025T0000|12 20|yeast LEU2
P03001645A0785|11 19|his3 genes
P07935468T0000|12 20|c-fos gene
P01688841A0430|12 19|six genes
P11133830A0174|12 19|human CD2
P10521509A0000|12 19|G protein
P02144610A1306|11 18|beta gene
P08306959A0278|11 18|IFN gamma
P02644735A0427|11 19|AcFP875-2
P06784123A0286|12 18|C mu RNAs
P11145563A0303|12 19|SREBP-1a
P11313398A0687|13 20|FcalphaR
P11469970A0873|12 18|type III
P08446579A1210|12 18|fos gene
P10653359A1297|11 18|4D1-D2.1
P07768824A0167|11 17|fla gene
P10428759A0743|11 17|insulin
P09539746A0781|12 17|Bcl-XL
P11390395A1018|13 18|HMGI-C
P09837824A0419|12 17|telSMN
P02833012A0428|12 16|L mRNA
P10409724A1021|12 17|ERK1/2
P07510635A0479|12 17|mAb1C2
P11134351A1405|13 18|MIP-2A
P04746559T0053|12 16|renin
P10542281A0382|12 16|G1-G2
P10551796T0000|12 16|HIV-1
P10567582A1334|11 15|CtBP1
P11316127A0485|11 15|HCM-I
P09148935A0805|13 17|c-Src
P09132061A0828|10 13|atp 2
P09434160A2078|12 16|PTPRO
P07821790A1084|12 16|UCRBP
P02026147A0000|11 14|Ca2+
P08951815A0465|12 15|ASN1
P11238375A0617|11 14|RhoA
P11084022A1178|13 16|ALK7
P11297514A0218|12 15|hos1
P11525640A0560|12 15|JNK1
P02123295A0645|12 15|ARF2
P10677214A1045|11 14|MutT
P02174861A0736|12 15|irgA
P11069307A0546|12 15|RNA2
P11114521A0282|12 15|RhoA
P11425877A1026|12 15|p116
P09829916T0000|12 15|lacZ
P07888306A1659|12 15|h6.1
P09860979A0521|12 15|p130
P02838710A0299|11 13|NPY
P09454735A1782|11 13|MEK
P09917064T0000|11 13|p82
P08626313A1037|12 14|Msp
P07700361A0125|12 14|SH2
P09020138A0833|11 13|Cas
P09710582A0535|11 13|Rho
P09104816A0610|11 13|Vpu
P03862898A0563|11 13|IgE
P07780148A1153|11 13|PML
P10972990A0526|12 14|p53
P10706688A0376|11 13|TCR
P10903877A0879|12 14|PKA
P07540773A0576|11 13|NSE
P08230418A0812|11 13|nef
P09389669A1009|11 13|omb
P08570615T0000|12 13|RB
P00369397A0280|11 12|LH
P08288596A0663|11 12|T3
P08082440A0339a|10 11|LH
P10049775T0000|12 54|human Voltage-Dependent Anion Channel isoforms 1
P01347476T0000|12 54|mouse ornithine decarboxylase-related sequence
P08114702A0000|12 50|myocyte-specific enhancer-binding factor 2
P09407036T0000|13 52|calcineurin-dependent transcription factor
P01982997A1104|13 46|immediate-early transcription factor
P11063742A0000|12 45|redox-sensitive transcription factor
P07896852T0000|13 42|early growth response factor Egr-1
P09733647A1960|13 43|Thr-Gly-X-X-Gly-Asp-Gly-Lys-Ile
P08262054A0565|13 39|N-terminal cytoplasmic domain
P11012680A1020|11 35|PLCgamma inhibitory peptide
P09211354A0000|14 38|matrix metalloproteinase-3
P09694514A0000|13 36|C3a anaphylatoxin receptor
P10891441A0871|13 36|pTyr317 Shc phosphopeptide
P10318806A0000|12 34|mitogen activated protein
P08654972A0000|12 35|Schizosaccharomyces pombe
P08375651T0000|13 34|clathrin heavy chain gene
P01327758A0000|13 34|bovine papillomavirus-1
P08519862T0001|13 33|anti-HCV IgM antibodies
P10633075A1111|13 33|anti-GalT Fab fragments
P02146266A0000|13 33|BamHI-HindIII fragment
P10490843A0159|12 30|POZ/Zn finger protein
P07799931A1232|12 29|Maf-related protein
P09165039A1372|13 29|marmoset monkey LHR
P10532805A0792|12 28|nerve growth factor
P09726991T0000|12 27|DNA binding domain
P09522979T0000|14 30|foetal fibronectin
P08030243A1011|12 27|NS35-specific RNA
P11044097A0422|13 27|recombinant HMG I
P10918599A0071|12 27|full-length E2F-3
P01383695A0100|12 25|EBV B-cell clone
P08189503A0000|11 25|full-length cDNA
P11278594A0618|13 27|human propeptide
P09121774T0000|11 24|small GTPase Rac
P11356853A0873|12 26|AP-1 superfamily
P11108151A0560|13 27|fibronectin mRNA
P07592647T0000|13 25|human Pur alpha
P01899846A0862|13 26|rbcL-rbcS locus
P08388543A1263|13 26|mutant receptor
P07730337A1439|12 25|PKC-gamma genes
P07500386A0870|12 24|GapIII protein
P10722661A0146|12 24|24-kDa protein
P08395004A0141|12 24|spt2 mutations
P00232456T0000|12 21|RNA and gene
P06328012A0549|13 23|EBNA protein
P08612852A0553|13 23|plasma IGF-I
P09519828A0809|14 24|E2 molecules
P07835088A0238|12 22|HSD3B2 genes
P08506317A0000|12 22|C/EBP family
P08356792A1275|13 23|p21X protein
P07530502T0000|14 24|Steel factor
P00528144T0000|11 21|transferrin
P11003669A0000|12 20|rat gene 33
P09570133A0474|12 22|DNA-protein
P08120019A1500|13 22|Hm1 mutants
P10329586A0414|12 22|fibronectin
P02269426A0428|11 19|RNA target
P11602353A0770|13 21|HNF-3 beta
P02324104A0516|12 20|C subunits
P07916003A0688|12 20|mouse gene
P10422291A0572|12 20|IgA lambda
P10220275A0694|12 20|PH domains
P01657249A1019|12 19|anti-i CA
P07758459A1277|11 18|AAC2 gene
P09371626A1345|12 20|replicase
P07753027A0240|12 20|psbB-psbT
P11160307A0394|13 21|wH22xeGFP
P00510341T0036|11 19|E.O.R.T.C
P10681562A0263|12 20|PPARgamma
P02164588A0266|13 19|HN genes
P09759865A0673|13 20|IL-1beta
P09448268A0186|12 18|a kinase
P07483285A0322|13 19|E7 cDNAs
P07958898A1050|14 21|dTFIIA-L
P09174049A1788|14 20|p34CDC2
P03006066A0653|14 20|myb-ets
P09514156A1147|13 18|DNase I
P09917389A1239|12 17|RNase E
P09735371A0227|13 18|unc-86
P03097643A1357|13 17|c gene
P09712859A1110|12 17|NF-ATp
P01309894A0807|12 16|Rep68
P01850105A1093|12 16|c-myc
P08940134A0705|11 15|v-crk
P10518496A0952|13 17|vHnf1
P09915798A1077|12 16|hsp90
P09032233T0000|13 17|Ets-1
P09864141A0528|12 16|Stat3
P08649773A1374|12 16|BCL-6
P09525891T0000|12 16|meis1
P01353478T0000|13 17|H-2Eb
P10891286A0000|12 16|titin
P07595374A1215|12 16|EBNA2
P01423454A0309|13 16|ANCA
P10022867A1069b|13 16|ETH1
P11149472A1257|13 16|NMP4
P07521009A0377|13 16|pms1
P09452444A0000|14 17|IL-6
P10620010A1155|13 16|Cdks
P11439343A0785|12 15|MPc3
P07518426A0000|14 17|IL-8
P01661369A0825|13 16|strD
P09079650A0136|12 15|MAPK
P09315651T0000|13 16|AP-2
P07563072A0773|13 16|rrnB
P11278583A0873|13 16|SNT1
P10022867A1069a|13 16|ETH1
P09478921A0126|13 16|p210
P10938135A0259|12 15|SMRT
P11557127A0991|13 16|NF-Y
P08626809A0729|14 17|pPKR
P10747782A0390|13 16|Mbp1
P07624119A0528|12 15|PAX3
P08264579A1209|12 15|PTR2
P00947834X0000|13 15|IgE
P10660304A0522|12 14|JAK
P11046148A0716|13 15|Lyn
P08164684A1266|12 14|RXR
P01420363T0000|13 15|AP1
P02372712A0002|12 14|tap
P08756332A0000|12 14|Ras
P02204810A1080|12 14|GA2
P10906176A0000|13 15|ETn
P10068637A1320|14 16|Csx
P10454533A0859|13 15|HRI
P08317094A0778|11 13|F3R
P10835485A0941|13 15|SH3
P08692885A0663|12 14|A20
P09649426A0636|14 16|PKA
P09426183A0000|13 15|Rel
P09121430A0132|13 15|Ras
P01457380A0000|13 15|ttk
P09131139T0000|13 15|PAF
P08868473A1287|13 15|p28
P01406630A0965|12 14|p50
P11069756A2618|14 16|CAS
P08605705A0676|13 15|IgM
P09348226A0852|14 16|EGF
P07853524A1944|12 14|GST
P01736093A0731|14 16|CAT
P07828584A0681|13 15|IM1
P07925097A1205|14 15|AR
P10943891A1062|12 13|U6
P07491111A0221|12 13|GR
P09011745T0000|13 86|chick brain alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid receptors
P10736161T0000|12 54|phosphoenolpyruvate:sugar phosphotransferase
P06096380A0662|13 53|cytosolic phosphoenolpyruvate carboxykinase
P07594592A0755|13 41|NF-IL6 beta leucine zipper domain
P03280807A1447|13 42|suf12-null/SUF12+ heterozygotes
P04990556T0000|14 41|horse anti-lymphocyte globulin
P02326946T0000|15 40|cholesterol acyltransferase
P11161793A1033|13 37|truncated receptor isoforms
P09733815T0000|13 35|latent membrane protein 2A
P07935375A1197|13 36|dominant-negative ras gene
P11083868A0386|13 36|glutathione S-transferase
P11278671T0000|15 34|Bcl-2 homology 3 domain
P08995054A1368|14 33|HeT-A coding sequences
P10201468A0297|14 34|immunoreactive insulin
P01400401A0065|13 32|AMP deaminase variants
P00001606T0076|14 33|alkaline phosphatases
P09668098A0868|13 31|human FGF-BP promoter
P08001136T0000|14 33|CDK-activating kinase
P00030937A0119|13 31|alkaline phosphatase
P08628302A0683|11 29|transcription factor
P10516878T0000|14 31|dopamine D2 receptor
P10527426A0521|12 29|SBEI gene transcript
P09797456A0000|14 32|c-myc proto-oncogene
P09042755T0000|14 30|sigma factor sigmaB
P08386280T0000|13 29|C/EBP binding sites
P07876210A0751|13 29|P450BM-3 Barbie box
P06546392A0542|13 28|C reactive protein
P10446910A0147|13 28|E2F1 gene promoter
P07579328A0653|14 28|CAT reporter gene
P03692331A0000|12 28|beta-adrenoceptor
P09533030T0000|13 26|human complex II
P06810694A0328|13 27|HDL-cholesterol
P10458914A0674|13 25|mouse STAP gene
P07947930A0499|14 26|serum proteins
P07478525A1177|13 25|MHBst proteins
P00304806A0760|12 24|serum alpha1AT
P11391531A1157|13 25|NF-kappaB site
P09837907A0857|13 24|TNF receptors
P05529283T0000|14 24|exocrine IgA
P01723962A0165|13 23|serum lipase
P02674679A1237|12 21|S1 nuclease
P02839716A0673|13 22|E2 proteins
P11056019A0926|12 22|glycosylase
P07779811A0901|13 22|Sp1 element
P07761091A0294|14 23|MAP kinases
P02830282A0155|13 21|A1 protein
P11486476A1512|14 22|troponin T
P10918059A0569|13 21|RVH domain
P09620273A0189|13 21|Rb protein
P07959734A0194|13 21|contactin
P09259313A0950|13 20|PI kinase
P02324104A0929|13 20|C subunit
P08432696A1117|13 20|apeA gene
P09315631A1064|13 20|POR2 gene
P08550462A0815|13 19|dra gene
P01850096A0662|14 21|myogenin
P09105530A0000|13 20|lysozyme
P10805286A0914|12 18|PCI mRNA
P11462004A0886|12 17|Vp1 DBD
P03682805A0375|13 19|albumin
P10777217A0536|14 20|p73beta
P08631797A0982|14 19|ErbB-2
P10838139A1447|14 19|Ha-ras
P07816049A0686|14 19|AKin10
P09414319A1442|14 19|Surf-4
P02843495A0544|14 18|v-fms
P11133741A0617|15 19|MCP-1
P10505694A0000|15 19|IL-12
P09435789A0961a|14 18|RAD24
P07623844A0639|14 18|Bcl-2
P07559555A0557|13 17|c-Jun
P01582413A0759|14 18|Myf-5
P02998016A0527|13 17|v-mil
P02555177A0488|14 17|LEU2
P09537651A0366|13 16|PEA3
P09489670A1157|13 16|HST6
P11318608A1155|14 17|EGFP
P02209540A1362|14 17|Ets1
P11319880A1108|15 18|mTOR
P09572428A0526|14 17|VEGF
P07800479A0201|13 16|NSR1
P10320579A1831|13 16|FlgN
P09514272A0482|14 17|MvaT
P08278548A0597|13 16|psaH
P10713161A0985|14 17|Ulp2
P02557217A0000|15 18|ACTH
P08566773A1023|13 16|CTS1
P09925372A0458|13 16|ZFPs
P10733569A0364|14 17|HSFs
P10471696A0734|13 16|SAS4
P09918715A1158|13 16|MotA
P11470914A0305|13 16|Rac1
P10722661A0406|13 16|CYC2
P08001792A0284|13 16|git5
P07695629A0489|13 16|mck1
P09407031A0557|13 16|Crb2
P07705627A1107|13 15|Mad
P08289831A0290|14 16|CAT
P08321203A0840|13 15|p50
P09671579A1168|13 15|noi
P09757012A0942|13 15|PDZ
P08212571A0971|13 15|gag
P09000049A1341|13 15|Mnt
P08876167A0717|14 16|cut
P09040011A1316|14 16|lck
P09642276A0881|13 15|Fak
P09019302A0600|13 15|PLP
P09645942A1164|12 14|Dsg
P09029159A0000|14 16|IFN
P09819288A0578|13 15|IgE
P08774732A0271|13 15|Sp1
P07592706A1465|13 15|LPL
P10543728A0358|14 16|E1A
P09765388T0000|14 16|p53
P10489680A0927|13 15|MPO
P09488486A0906|14 16|TBP
P08676456A0879|14 16|Tat
P09662339A0744|13 15|ras
P00603783A0647|13 15|IgG
P08530503A1004|13 15|ARP
P11282394A0841|14 15|VH
P08119958A0273|12 13|C2
P09093867T0000|15 16|Ds
P09706565A1072|14 14|M
P07914700A0000|13 48|RNA-dependent eIF-2 alpha protein kinase
P06795832A0148|13 40|Hepatitis A HBs- and HBe-antigen
P11276426A0501|14 41|Mad member interacting protein 1
P10025506A0079|14 43|tissue-specific plastin isoforms
P08654983A0000|14 38|signal recognition particle
P02052544A0641|15 36|DNA polymerase II complex
P06833422T0000|15 35|20 alpha-hydroxy-9 beta
P08621659A0189|14 34|NH2-terminal Gla domain
P02967915A0968|14 35|calbindin-D28K promoter
P11025367A1009|15 35|plasma cholecystokinin
P08497259A0452|13 32|SUP4A53T61 transcript
P08896590T0000|14 31|adenovirus late RNAs
P07537851A0891|15 33|recombinant proteins
P00219565A0172|14 30|hepatitis B antigen
P04976988T0000|15 31|human serum albumin
P02565807A1198|14 30|neu proto-oncogene
P10347197A0502|14 30|urokinase promoter
P03989827T0000|14 30|lactase phenotypes
P09045842T0000|14 29|alpha and sigma-70
P08816453A0000|14 28|cyclic AMP (cAMP)
P03915540A0863|14 29|gcd1-101 mutation
P01886774A0000|15 30|POU-homeo domains
P09430668A0172a|14 28|HMG-CoA synthase
P10681588A0899a|14 28|nuclear proteins
P07875595A0910|14 27|PITSLRE PK genes
P10681588A0899b|14 28|nuclear proteins
P05567721T0000|15 29|thromboplastins
P09018122A1389|14 27|ORF-1 sequences
P09891092A1000|13 26|Sm-binding site
P10455183A0530|14 27|xtRNA(Sec) gene
P08630599A0534|14 27|elastin peptide
P08599945T0000|14 27|alpha-amanitin
P10683244A0939|14 26|NBF1+R protein
P02353453A1249|13 25|helicase motif
P11238105A0959|15 27|alpha subunits
P09188699A1388|14 25|SP-A isoforms
P11157763T0000|14 25|EMAPII domain
P08704124A0420|13 24|six fragments
P10487753A0788|14 25|XDRP1 protein
P10541432A0185|16 27|erbB proteins
P10228009A0600|14 25|CINC promoter
P01828248A0189|15 25|UvrA protein
P01537845A0571|14 24|murine c-myb
P06152670T0000|15 26|pancreozymin
P08307338A0227|14 24|nuclear gene
P01371413A0742|14 23|hGCSFR gene
P01674817T0000|14 23|yeast RNA14
P08639561T0000|14 23|human N-ras
P10224257A0079|13 22|her-1 mRNAs
P03280807A0000|14 23|suf12 locus
P00985279A0493|15 24|hemoglobin
P07706396T0000|14 22|VPS45 gene
P03814493T0000|15 24|interferon
P10477620A0580|16 24|NF-kappa B
P08129955A0572|14 22|troponin T
P01172734T0035|15 22|HL-A W-27
P07846163A0422|13 20|GRF genes
P11093745A0563|15 22|HNF3 site
P10932196A0359|14 21|RP2 locus
P08325504A0226|14 21|RD21 mRNA
P09088371T0000|14 21|protein C
P07559639A0996|14 21|R206S HSF
P10051488A1610|14 21|AP-1 site
P09482902A0942|14 22|wild-type
P10660604A0748|15 22|RXRalpha
P10490816A0000|14 20|RET gene
P01276105A0313|14 20|insulin
P07540866A1069|14 20|insulin
P09545293A0590|12 18|lumican
P01378052A0594|14 20|acoXABC
P08603921A1346|16 22|Spc110p
P03046931A0247|13 18|eIF-4A
P02307850A1197|14 19|RNKP-1
P09756895A0322|14 19|chCTCF
P03911052A0909|14 19|DIL-CP
P09305944A0621|14 19|RanGAP
P01429836A1205|13 17|Vps1p
P08063836A0904|14 18|c-Abl
P08420571A1880|14 18|PACE4
P09012405A0785|15 19|TTD-A
P08034486A0579|14 18|HSV-2
P11094072A1234|14 18|c-Myb
P08955189A1198|15 19|BglII
P09862343A0225|13 17|gp200
P08570615T0000|15 19|E2F-1
P02330333A0325|15 18|Tl+1
P11222720A1699|14 17|RPMS
P08836740A1025|14 17|CES4
P08978690A0262|15 18|Rad3
P08763953A0805|14 17|traA
P10831972A0744|15 18|CD23
P09927570A0507|13 16|RNU2
P07814321A0850|14 17|prfA
P01446828A1088|13 16|ADH5
P00917572T0001|14 16|TSH
P08702756A0000|14 16|Rho
P11006283A1180|16 18|p64
P03381039A0364|14 16|MAN
P09541280A0404|15 17|IgE
P08082440A0339a|13 15|FSH
P08622645A1026|15 17|VDR
P09647240A0000|14 16|p53
P08825554A0000|16 18|TTP
P08139539A0446|13 15|m1R
P09553040A0651|14 16|Epo
P07859739T0000|14 16|Cdk
P09261155A0833|15 16|PH
P07926775A0895|13 14|en
P10498616A0157|13 13|M
P11160656A0000|15 76|human cytomegalovirus (HCMV) major immediate-early regulatory region
P02522297A0000|14 66|thromboxane A2 (TXA2)/prostaglandin endoperoxide receptor
P07513703T0000|15 54|SH2-containing protein tyrosine phosphatase
P08647822T0000|14 50|sterol regulatory element binding protein
P09705564T0000|15 49|human papillomavirus type 11 E5A protein
P09851700A0000|15 50|human tissue-type plasminogen activator
P02883963A0000|15 47|human T-cell lymphotropic virus type I
P08029334T0000|15 46|plant omega-3 fatty acid desaturases
P03035218T0000|16 49|p40x-responsive regulatory sequences
P06321770A1353|15 46|chloramphenicol acetyltransferase
P09115365A0000|15 41|human heat shock protein 70 gene
P09368419A0628|14 41|MYC-related DNA binding protein
P01876836T0000|16 43|Ets- and notch-related subunits
P08649424A0000|15 42|phenylalanine hydroxylase gene
P07534306A0444|16 41|His6-tagged GrsA derivatives
P00918556A0000|15 38|hepatitis B surface antigen
P07522163T0000|15 37|horse cytochrome c peptide
P08887674A0630|14 37|DMP1 recognition sequences
P06795900A0000|14 37|fatty acid cyclo-oxygenase
P11158288T0000|15 36|RNA polymerase II complex
P09501093A0071|15 37|mitogen activated protein
P02187871T0000|14 36|Saccharomyces cerevisiae
P09373155T0000|16 36|dynein heavy chain genes
P08619866A0000|15 36|hepatocyte growth factor
P08887678A0000|15 36|proapoptotic protein Bax
P01333047A0404|14 34|epidermal growth factor
P11350812A0829|15 34|Raf-1 target ERK kinase
P08621664A1430|16 36|neurofilament L protein
P10762254A0954|14 34|TMA methyltransferases
P08759870A1128|14 33|fbpA operator sequence
P01904546A0671|15 33|chromosomal AAR1 gene
P06938948T0001|15 34|serum immunoglobulins
P09792439T0000|15 33|apolipoprotein B mRNA
P02237431A0000|15 32|human T cell receptor
P01378506A0884|16 34|full-deletion mutant
P09456312A1064|16 34|COOH-terminal domain
P01922082A0149|15 30|mouse TSH beta gene
P07576307A1654|16 33|ENK-specific motifs
P03035056T0000|15 31|kappa antibody gene
P08035505A0586|15 32|NS3'-5B polyprotein
P01717833T0000|15 30|alpha inhibin gene
P10477583A0000b|16 30|B cell Ag receptor
P10477583A0000a|16 30|B cell Ag receptor
P08128629A1164|14 29|5' LTR-linked gene
P03891766A1473|16 31|rheumatoid factor
P09418057A0684|14 29|Pto-like sequence
P08254738A0428|14 28|mutant T antigens
P06890622A0067|16 31|anti-vasopressor
P07784061A0894|15 28|small G proteins
P07977648A0880|15 29|TP53 transcripts
P10477545T0000|15 28|pertussis toxin
P09372924A0758|16 29|rhHR23 proteins
P08530432A0093|14 27|mutant proteins
P08861963A0375b|16 29|RNA polymerases
P07748493A1045|16 29|Aplysia Afurin2
P01398140A0488|16 28|Xenopus U7 gene
P01448806A0135|16 28|growth hormone
P08670910A0156|15 26|DNA ligase III
P10723723A0781|16 28|mouse promoter
P11152963A0000|15 26|src homology 3
P09003462A0792|15 27|mutation sites
P01714452A0559|15 26|human protein
P09655248A0000|17 28|LRP-2 protein
P10601335A0892|16 27|mannosidase I
P08707424A0709|15 25|ERV3 env mRNA
P11251104A0526|15 27|alpha-amylase
P09787323A0000|15 27|interleukin-6
P07859777A0000|16 27|serum albumin
P07588628A0318|16 27|wild-type p53
P07697294A0329|14 24|HSP81-1 mRNA
P08576042A0765|16 26|HrcA protein
P10512857A0000|15 26|beta-catenin
P09154822T0000|15 25|Raf-1 kinase
P09132011A0298|15 25|p50 sequence
P09307065A0553|14 23|MHC class II
P08384309A0000|16 26|basic region
P07629150A0155|15 25|CYP11A1 gene
P01788002T0001|16 25|hepatitis A
P07790377A0561|15 24|human PTS1R
P11207216A0719|15 24|PGHS-2 mRNA
P09087430A1046|15 24|U1A peptide
P09525598A0325|15 23|Raf kinase
P00088391A0181|14 21|factor IX
P11134033A0639|15 23|int6Delta
P10403575A1401|15 22|StAR gene
P09618481T0000|15 22|human p21
P08421823A1041|16 23|protein S
P07806492A1162|15 23|cucumisin
P10409656A1016|16 23|H411 cDNA
P10488147A1176|16 24|eotaxin-3
